Frame,Accelerometer X,Accelerometer y,Accelerometer Z,Compass,Gyroscope X,Gyroscope Y,Gyroscope Z
0,-0.0,0.0,-0.6,1.4069432020187378,0.757150493270194,0.7237279895789401,0.755513270099544
1,-0.0,-0.0,-0.6,1.4069427251815796,0.48682289497593123,0.966988896874046,0.06559001396292485
2,-0.0,-0.0,-0.6,1.4069427251815796,0.43861924908917005,0.46303749697844776,0.8035137710907388
3,-0.0,-0.0,-0.5,1.4069427251815796,0.4210869504560668,0.8738464840115594,0.025845577411843235
4,0.0,0.0,-0.4,1.4069427251815796,0.649525010346092,0.8624366352210634,0.6993883954676244
5,0.0,0.0,-0.3,1.40694260597229,0.9992430418264532,0.061840989181042305,0.05908637998445465
6,-0.0,-0.0,-0.2,1.4069427251815796,0.8468302387654424,0.758739620432396,0.24652353621313816
7,-0.0,-0.0,-0.2,1.4069427251815796,0.7818242803050702,0.18061108059925945,0.039283443202656865
8,0.0,0.0,-0.2,1.4069427251815796,0.4222789687814569,0.10845449714831046,0.5433284798255721
9,-0.0,-0.0,-0.1,1.4069427251815796,0.5338701923379229,0.8065694642816793,0.15411640566539142
10,0.0,0.0,-0.1,1.4069427251815796,0.9346360183258617,0.10152250603655188,0.2800956904442129
11,0.0,0.0,-0.1,1.4069427251815796,0.9192056727117232,0.36899474692114353,0.7398262237221842
12,-0.0,-0.0,-0.1,1.4069427251815796,0.7763237773608174,0.7780956589531146,0.7551629390177517
13,-0.0,-0.0,-0.0,1.4069427251815796,0.5835087957447517,0.33730817021995496,0.3249940720760054
14,0.0,0.0,-0.0,1.4069427251815796,0.02770267078515154,0.2329956787619849,0.8743753968438073
15,-0.0,0.0,-0.1,1.4069427251815796,0.17915343676401296,0.7785353038276795,0.6588331132874256
16,0.0,0.0,0.0,1.4069427251815796,0.7115885098743522,0.3464770721322663,0.7778904311526272
17,0.0,0.0,0.0,1.4069427251815796,0.37960151890437366,0.16952646122927273,0.7253802150889938
18,0.0,0.0,0.0,1.4069427251815796,0.5104186109850122,0.032182361643672164,0.835464663878075
19,0.0,0.0,0.0,1.4069427251815796,0.05163812187940553,0.9873358991351142,0.8663999669455735
20,-0.0,-0.0,-0.0,1.4069427251815796,0.7427823116113407,0.7915269495508648,0.820670449563383
21,0.0,0.0,0.0,1.4069427251815796,0.017657494954770758,0.8924470437095015,0.7575682536853228
22,0.0,-0.0,0.0,1.4069427251815796,0.25576723118718003,0.8956703905941314,0.8252383697506265
23,-0.0,0.0,0.0,1.4069427251815796,0.17508092787828033,0.5008434223629447,0.6089143381604749
24,-0.0,-0.0,-0.0,1.4069427251815796,0.015572273045743601,0.3740259035573569,0.09686077853678277
25,0.0,0.0,-0.0,1.4069427251815796,0.3706624273582675,0.40112215796497475,0.948517257360036
26,-0.0,-0.0,-0.0,1.4069427251815796,0.7400619133167498,0.7436459724224875,0.24689496435890967
27,0.0,0.0,-0.0,1.4069427251815796,0.02860697243715249,0.268017049709276,0.7539296411697447
28,-0.0,0.0,-0.0,1.4069427251815796,0.5527598044860196,0.9405088407934841,0.09631782254213284
29,0.0,-0.0,0.0,1.4069427251815796,0.7509073363074714,0.997272989730986,0.9648635770567624
30,0.0,-0.0,0.0,1.4069427251815796,0.6638309183159464,0.9209003166195369,0.3342790609563203
31,6.8,-1.1,-0.0,1.4069427251815796,0.18821233176474372,0.4122836118468761,0.48626271018714673
32,6.6,-1.1,-0.0,1.4069427251815796,0.01201860544331923,0.45114856016088056,0.8081694031714078
33,5.2,-0.9,0.0,1.4069427251815796,0.3602079949476986,0.6288440534728404,0.04069993409919037
34,2.4,-0.4,-0.0,1.4069427251815796,0.9630308945468677,0.5130842990273723,0.08036463598221322
35,3.4,-0.6,0.0,1.4069427251815796,0.005183537477446931,0.19949053548666196,0.816083782313932
36,2.4,-0.4,-0.0,1.4069427251815796,0.38480290274969076,0.9850979304512606,0.3930388097352704
37,3.0,-0.5,-0.0,1.4069427251815796,0.3701414479305176,0.2520965085267165,0.7208410279429784
38,2.4,-0.4,-0.0,1.4069427251815796,0.5077967152975658,0.311968646261677,0.7105648010664933
39,3.0,-0.5,-0.0,1.4069427251815796,0.6921672011504822,0.15290749245975022,0.6254295038658181
40,3.6,-0.6,0.0,1.4069410562515259,0.5314939646787413,0.3963837040221678,0.5409023534511239
41,3.9,-0.6,-0.0,1.406934142112732,0.09643314895490995,0.7587594016693907,0.2905043397619097
42,4.0,-0.7,-0.0,1.406860113143921,0.0323986000987726,0.756069873299529,0.9752941709444342
43,4.3,-0.7,-0.0,1.407029390335083,0.004816507650465485,0.7160362601416281,0.6029214525474997
44,4.6,-0.8,-0.0,1.4069548845291138,0.8670257082671351,0.2848130693053499,0.6213377741581662
